359 428 535 1617 2848
baruchfost 0 0 0 0 1
ltericst 0 0 0 3 0
wont 2 5 6 4 1
8097000 0 0 0 0 1
29812 0 0 0 0 2
ltffw 0 0 0 0 1
cast 0 1 5 2 1
adventur 0 0 0 1 0
moral 0 0 0 0 1
205000 0 0 0 1 1
9174 0 0 0 0 2
ltfpcc 0 0 0 1 0
67640 0 0 1 0 0
742 0 0 0 2 2
ltcmph 0 0 0 0 2
investmento 0 0 0 2 0
8403562 0 0 0 0 1
grandview 0 0 0 1 0
milex 0 0 0 1 0
1894 0 0 0 0 1
ltdion 0 0 0 0 1
ltsng 0 0 0 0 2
wausau 0 0 0 0 1
militaryspecif 0 0 0 1 0
harrison 1 0 0 0 0
chemlawnltchembid 0 0 0 1 0
tuition 0 0 0 0 1
ltwaiahk 0 0 0 0 1
ltoptkf 0 0 0 0 1
outfit 0 0 0 1 0
rubber 2 2 1 10 2
de 19 7 10 24 15
15750100 0 1 0 0 0
ltert 0 0 0 0 2
3364058 0 0 0 0 1
barbara 1 0 0 3 0
ltguin 0 0 0 1 0
5415185 0 0 0 0 1
crash 3 0 1 0 0
crompton 0 0 0 1 0
cano 2 0 0 0 0
28514 0 1 0 0 0
gelco 0 0 0 5 3
27371 0 0 0 0 1
4278 0 0 0 1 0
freakish 0 0 1 0 0
ltct 0 0 0 2 1
deni 11 5 11 15 5
5747000 0 0 0 0 1
baldwin 0 0 1 1 0
aga 1 0 0 0 0
1281000 0 0 0 0 1
genentech 0 0 0 1 0
15474000 0 0 0 0 1
984 0 0 0 0 1
rabo 0 0 0 0 1
karachi 0 1 0 0 0
155 4 0 6 7 36
ltdya 0 0 0 2 1
goldom 0 0 0 2 0
frighten 0 0 1 0 0
cofab 0 0 0 1 0
kaufhof 0 0 0 1 0
feretti 0 0 0 1 0
confidenti 0 0 2 9 0
lyonnais 0 0 0 0 2
676000 0 0 0 0 3
7365000 0 0 0 0 1
357000 0 0 0 0 1
ltavaq 0 0 0 1 0
dlrs1986 0 0 0 0 1
2776000 0 0 0 0 1
italiana 1 0 0 0 2
canadianown 0 0 0 0 1
ltmagellan 0 0 0 1 0
141300000 0 0 0 0 1
wavehil 0 0 0 2 0
68000 0 0 0 2 1
1918000 0 0 0 0 1
6028755 0 0 0 0 2
2528 0 1 0 0 0
421000 0 0 0 0 1
291400 0 0 0 1 0
morril 0 0 0 1 0
9012 0 0 0 2 0
lossmak 0 0 0 1 1
endfebruari 0 0 3 1 1
4073724 0 0 0 0 1
repeatedli 1 1 5 2 0
ltrada 0 0 0 1 0
beverli 0 0 0 3 0
5605680 0 0 0 0 1
mp 0 0 0 0 1
employe 3 1 1 38 15
3963000 0 0 0 0 3
5669000 0 0 0 0 1
ltdosk 0 0 0 0 1
beef 0 5 1 6 0
azor 0 1 0 0 0
goldsilverleadzinc 0 0 0 3 0
