28395 28095 37929 79517 102277
ltericst 0 0 0 3 0
wont 2 5 6 4 1
29812 0 0 0 0 2
cast 0 1 5 2 1
205000 0 0 0 1 1
9174 0 0 0 0 2
742 0 0 0 2 2
ltcmph 0 0 0 0 2
investmento 0 0 0 2 0
ltsng 0 0 0 0 2
rubber 2 2 1 10 2
de 19 7 10 24 15
ltert 0 0 0 0 2
barbara 1 0 0 3 0
crash 3 0 1 0 0
cano 2 0 0 0 0
gelco 0 0 0 5 3
ltct 0 0 0 2 1
deni 11 5 11 15 5
baldwin 0 0 1 1 0
155 4 0 6 7 36
ltdya 0 0 0 2 1
goldom 0 0 0 2 0
confidenti 0 0 2 9 0
lyonnais 0 0 0 0 2
676000 0 0 0 0 3
italiana 1 0 0 0 2
wavehil 0 0 0 2 0
68000 0 0 0 2 1
6028755 0 0 0 0 2
9012 0 0 0 2 0
lossmak 0 0 0 1 1
endfebruari 0 0 3 1 1
repeatedli 1 1 5 2 0
beverli 0 0 0 3 0
employe 3 1 1 38 15
3963000 0 0 0 0 3
beef 0 5 1 6 0
goldsilverleadzinc 0 0 0 3 0
peg 1 0 10 1 2
ensur 5 4 6 5 5
183000 0 0 0 0 2
fernando 11 0 0 1 0
paddi 0 6 0 0 0
domest 51 20 55 14 42
ltneptunia 0 0 0 2 0
caf 1 1 0 0 0
biggest 10 2 2 8 9
shun 0 1 0 0 1
tricil 0 0 0 1 1
moni 0 0 0 1 1
1971 0 0 0 1 1
1150000 0 0 0 0 2
232 1 1 0 1 12
645000 0 0 0 0 2
ltfeder 0 0 0 2 0
ltbmi 0 0 0 2 1
mathew 0 0 0 4 0
overcapac 0 0 0 1 2
differ 4 23 12 14 10
discuss 28 21 27 77 5
chesebroughpond 0 0 0 1 2
disney 0 0 0 6 0
cha 0 0 0 2 0
extent 5 4 5 8 6
svizzera 0 0 0 0 2
constantin 2 0 0 0 0
ag 1 0 7 34 58
1249000 0 0 0 0 2
pittsburghbas 0 0 0 3 0
port 24 22 0 4 2
950000 0 1 0 0 7
envoy 1 0 1 0 0
adopt 5 4 13 9 12
enthusiast 1 0 1 1 0
feasibl 3 0 0 4 1
763 0 0 0 0 3
creat 9 9 15 31 14
ltsar 0 0 0 0 2
steven 0 1 0 2 7
ltpln 1 0 0 0 1
wildcat 2 0 0 0 0
hydraul 1 0 0 0 2
laser 0 0 0 2 5
usa 4 3 1 3 6
ltssbk 0 0 0 3 0
infanc 0 0 3 0 0
nikkeiren 0 0 2 0 0
slower 2 1 4 0 4
qtrli 0 0 0 0 41
recycl 0 0 0 3 1
standard 6 3 9 19 15
petit 0 1 0 4 2
3509000 0 0 0 0 2
insuffici 1 4 0 1 0
345515 0 0 0 0 2
cetec 0 0 0 0 2
ltbld 0 0 0 2 2
spend 21 6 12 8 28
551 0 0 0 0 4
automobil 0 0 1 3 4
subscrib 0 0 0 12 6
statu 9 3 5 7 4
ltmetgf 0 0 0 1 1
lo 0 2 0 27 3
3000000 0 0 0 0 3
portugus 0 0 0 2 0
summari 0 8 0 0 0
grenfel 0 0 0 2 4
empresa 1 2 0 1 0
880000 0 0 0 2 1
3055p 0 0 0 1 1
499000 0 0 0 0 2
422000 1 2 0 0 0
paic 0 2 0 0 0
map 1 0 0 1 0
558 1 1 0 1 3
1881 0 0 0 1 2
gasolin 35 1 0 2 1
ltphilip 0 0 0 2 0
csx 0 0 0 2 2
ltcanadian 2 0 0 9 7
1691 0 0 0 0 3
157 2 1 0 0 27
agre 38 17 71 281 25
ltalx 0 0 0 0 2
peasant 0 3 0 0 0
21000 0 0 0 0 2
covert 1 0 0 0 1
837 1 0 0 0 1
550 0 0 7 4 6
pariba 1 0 0 2 2
taikoo 0 0 0 0 2
rico 1 0 0 2 2
whole 10 7 9 7 7
invest 35 8 36 253 185
lthlme 0 0 0 0 2
comalco 0 0 0 0 5
3050000 0 0 0 0 2
amazon 3 0 0 0 0
wealth 2 1 0 0 0
8932 0 0 0 0 2
midwestern 0 2 0 1 0
swap 0 0 11 5 1
levin 0 0 0 3 0
ltamo 0 0 0 12 4
peripher 0 0 0 2 2
onto 0 5 3 3 0
realiti 1 2 4 1 0
unfavour 0 0 3 0 0
567 1 0 0 1 3
9309394 0 0 0 4 0
ltcounti 0 0 0 3 0
1205 1 0 0 1 1
aqazadeh 3 0 0 0 0
scrap 1 1 3 0 1
deliver 2 0 2 0 1
ltvia 0 0 0 8 1
747 0 0 0 0 3
5229542 0 0 0 0 2
flyr 0 0 0 0 5
ltsdc 0 0 0 0 2
clinton 1 1 0 2 0
irrig 0 9 0 0 0
newlyacquir 0 0 0 1 1
resourc 24 3 3 72 71
lttwt 0 0 0 1 2
oshman 0 0 0 0 2
calif 1 0 0 27 2
38 8 4 4 22 65
badli 3 5 0 0 2
245 0 2 1 1 12
sarl 0 0 0 3 0
kapok 0 0 0 1 2
ltfcr 0 0 0 0 2
agriproduct 0 0 0 2 0
1860 1 0 0 0 1
101000 0 0 0 0 2
1103000 0 0 0 0 3
hour 4 4 10 12 1
804 1 0 0 0 1
gkn 0 0 0 1 2
acquir 10 0 1 520 53
vulner 1 2 4 1 3
