0.06203559702782098 0.07395887333678935 0.0924485916709867 0.279419388284085 0.492137549680318
ltericst 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 0.00034432297495050356 7.783312577833126e-05
wont 0.0002896032435563278 0.0005753739930955121 0.000664451827242525 0.00043040371868812945 0.00015566625155666251
29812 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 8.608074373762589e-05 0.00023349937733499379
cast 9.653441451877595e-05 0.00019179133103183735 0.0005695301376364499 0.00025824223121287767 0.00015566625155666251
205000 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 0.00017216148747525178 0.00015566625155666251
9174 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 8.608074373762589e-05 0.00023349937733499379
742 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 0.00025824223121287767 0.00023349937733499379
ltcmph 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 8.608074373762589e-05 0.00023349937733499379
investmento 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 0.00025824223121287767 7.783312577833126e-05
ltsng 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 8.608074373762589e-05 0.00023349937733499379
rubber 0.0002896032435563278 0.00028768699654775604 0.00018984337921214997 0.0009468881811138849 0.00023349937733499379
de 0.0019306882903755188 0.0007671653241273494 0.001044138585666825 0.0021520185934406472 0.0012453300124533001
ltert 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 8.608074373762589e-05 0.00023349937733499379
barbara 0.0001930688290375519 9.589566551591868e-05 9.492168960607498e-05 0.00034432297495050356 7.783312577833126e-05
crash 0.0003861376580751038 9.589566551591868e-05 0.00018984337921214997 8.608074373762589e-05 7.783312577833126e-05
cano 0.0002896032435563278 9.589566551591868e-05 9.492168960607498e-05 8.608074373762589e-05 7.783312577833126e-05
gelco 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 0.0005164844624257553 0.00031133250311332503
ltct 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 0.00025824223121287767 0.00015566625155666251
deni 0.0011584129742253113 0.0005753739930955121 0.0011390602752728999 0.0013772918998020143 0.00046699875466998757
baldwin 9.653441451877595e-05 9.589566551591868e-05 0.00018984337921214997 0.00017216148747525178 7.783312577833126e-05
155 0.0004826720725938797 9.589566551591868e-05 0.000664451827242525 0.0006886459499010071 0.0028798256537982563
ltdya 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 0.00025824223121287767 0.00015566625155666251
goldom 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 0.00025824223121287767 7.783312577833126e-05
confidenti 9.653441451877595e-05 9.589566551591868e-05 0.00028476506881822496 0.0008608074373762589 7.783312577833126e-05
lyonnais 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 8.608074373762589e-05 0.00023349937733499379
676000 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 8.608074373762589e-05 0.00031133250311332503
italiana 0.0001930688290375519 9.589566551591868e-05 9.492168960607498e-05 8.608074373762589e-05 0.00023349937733499379
wavehil 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 0.00025824223121287767 7.783312577833126e-05
68000 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 0.00025824223121287767 0.00015566625155666251
6028755 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 8.608074373762589e-05 0.00023349937733499379
9012 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 0.00025824223121287767 7.783312577833126e-05
lossmak 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 0.00017216148747525178 0.00015566625155666251
endfebruari 9.653441451877595e-05 9.589566551591868e-05 0.00037968675842429994 0.00017216148747525178 0.00015566625155666251
repeatedli 0.0001930688290375519 0.00019179133103183735 0.0005695301376364499 0.00025824223121287767 7.783312577833126e-05
beverli 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 0.00034432297495050356 7.783312577833126e-05
employe 0.0003861376580751038 0.00019179133103183735 0.00018984337921214997 0.00335714900576741 0.0012453300124533001
3963000 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 8.608074373762589e-05 0.00031133250311332503
beef 9.653441451877595e-05 0.0005753739930955121 0.00018984337921214997 0.0006025652061633813 7.783312577833126e-05
goldsilverleadzinc 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 0.00034432297495050356 7.783312577833126e-05
peg 0.0001930688290375519 9.589566551591868e-05 0.001044138585666825 0.00017216148747525178 0.00023349937733499379
ensur 0.0005792064871126556 0.0004794783275795934 0.000664451827242525 0.0005164844624257553 0.00046699875466998757
183000 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 8.608074373762589e-05 0.00023349937733499379
fernando 0.0011584129742253113 9.589566551591868e-05 9.492168960607498e-05 0.00017216148747525178 7.783312577833126e-05
paddi 9.653441451877595e-05 0.0006712696586114307 9.492168960607498e-05 8.608074373762589e-05 7.783312577833126e-05
domest 0.005019789554976349 0.0020138089758342925 0.0053156146179402 0.0012912111560643884 0.003346824408468244
ltneptunia 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 0.00025824223121287767 7.783312577833126e-05
caf 0.0001930688290375519 0.00019179133103183735 9.492168960607498e-05 8.608074373762589e-05 7.783312577833126e-05
biggest 0.0010618785597065353 0.00028768699654775604 0.00028476506881822496 0.0007747266936386331 0.0007783312577833125
shun 9.653441451877595e-05 0.00019179133103183735 9.492168960607498e-05 8.608074373762589e-05 0.00015566625155666251
tricil 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 0.00017216148747525178 0.00015566625155666251
moni 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 0.00017216148747525178 0.00015566625155666251
1971 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 0.00017216148747525178 0.00015566625155666251
1150000 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 8.608074373762589e-05 0.00023349937733499379
232 0.0001930688290375519 0.00019179133103183735 9.492168960607498e-05 0.00017216148747525178 0.0010118306351183063
645000 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 8.608074373762589e-05 0.00023349937733499379
ltfeder 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 0.00025824223121287767 7.783312577833126e-05
ltbmi 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 0.00025824223121287767 0.00015566625155666251
mathew 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 0.00043040371868812945 7.783312577833126e-05
overcapac 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 0.00017216148747525178 0.00023349937733499379
differ 0.0004826720725938797 0.0023014959723820483 0.0012339819648789748 0.0012912111560643884 0.0008561643835616438
discuss 0.002799498021044502 0.002109704641350211 0.0026578073089701 0.00671429801153482 0.00046699875466998757
chesebroughpond 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 0.00017216148747525178 0.00023349937733499379
disney 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 0.0006025652061633813 7.783312577833126e-05
cha 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 0.00025824223121287767 7.783312577833126e-05
extent 0.0005792064871126556 0.0004794783275795934 0.0005695301376364499 0.0007747266936386331 0.0005448318804483188
svizzera 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 8.608074373762589e-05 0.00023349937733499379
constantin 0.0002896032435563278 9.589566551591868e-05 9.492168960607498e-05 8.608074373762589e-05 7.783312577833126e-05
ag 0.0001930688290375519 9.589566551591868e-05 0.0007593735168485999 0.0030128260308169065 0.004592154420921544
1249000 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 8.608074373762589e-05 0.00023349937733499379
pittsburghbas 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 0.00034432297495050356 7.783312577833126e-05
port 0.0024133603629693987 0.0022056003068661296 9.492168960607498e-05 0.00043040371868812945 0.00023349937733499379
950000 9.653441451877595e-05 0.00019179133103183735 9.492168960607498e-05 8.608074373762589e-05 0.0006226650062266501
envoy 0.0001930688290375519 9.589566551591868e-05 0.00018984337921214997 8.608074373762589e-05 7.783312577833126e-05
adopt 0.0005792064871126556 0.0004794783275795934 0.00132890365448505 0.0008608074373762589 0.0010118306351183063
enthusiast 0.0001930688290375519 9.589566551591868e-05 0.00018984337921214997 0.00017216148747525178 7.783312577833126e-05
feasibl 0.0003861376580751038 9.589566551591868e-05 9.492168960607498e-05 0.00043040371868812945 0.00015566625155666251
763 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 8.608074373762589e-05 0.00031133250311332503
creat 0.0009653441451877594 0.0009589566551591868 0.0015187470336971997 0.0027545837996040285 0.0011674968866749688
ltsar 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 8.608074373762589e-05 0.00023349937733499379
steven 9.653441451877595e-05 0.00019179133103183735 9.492168960607498e-05 0.00025824223121287767 0.0006226650062266501
ltpln 0.0001930688290375519 9.589566551591868e-05 9.492168960607498e-05 8.608074373762589e-05 0.00015566625155666251
wildcat 0.0002896032435563278 9.589566551591868e-05 9.492168960607498e-05 8.608074373762589e-05 7.783312577833126e-05
hydraul 0.0001930688290375519 9.589566551591868e-05 9.492168960607498e-05 8.608074373762589e-05 0.00023349937733499379
laser 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 0.00025824223121287767 0.00046699875466998757
usa 0.0004826720725938797 0.0003835826620636747 0.00018984337921214997 0.00034432297495050356 0.0005448318804483188
ltssbk 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 0.00034432297495050356 7.783312577833126e-05
infanc 9.653441451877595e-05 9.589566551591868e-05 0.00037968675842429994 8.608074373762589e-05 7.783312577833126e-05
nikkeiren 9.653441451877595e-05 9.589566551591868e-05 0.00028476506881822496 8.608074373762589e-05 7.783312577833126e-05
slower 0.0002896032435563278 0.00019179133103183735 0.00047460844803037496 8.608074373762589e-05 0.00038916562889165627
qtrli 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 8.608074373762589e-05 0.003268991282689913
recycl 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 0.00034432297495050356 0.00015566625155666251
standard 0.0006757409016314316 0.0003835826620636747 0.0009492168960607499 0.0017216148747525178 0.0012453300124533001
petit 9.653441451877595e-05 0.00019179133103183735 9.492168960607498e-05 0.00043040371868812945 0.00023349937733499379
3509000 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 8.608074373762589e-05 0.00023349937733499379
insuffici 0.0001930688290375519 0.0004794783275795934 9.492168960607498e-05 0.00017216148747525178 7.783312577833126e-05
345515 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 8.608074373762589e-05 0.00023349937733499379
cetec 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 8.608074373762589e-05 0.00023349937733499379
ltbld 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 0.00025824223121287767 0.00023349937733499379
spend 0.0021237571194130706 0.0006712696586114307 0.0012339819648789748 0.0007747266936386331 0.0022571606475716064
551 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 8.608074373762589e-05 0.00038916562889165627
automobil 9.653441451877595e-05 9.589566551591868e-05 0.00018984337921214997 0.00034432297495050356 0.00038916562889165627
subscrib 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 0.0011190496685891365 0.0005448318804483188
statu 0.0009653441451877594 0.0003835826620636747 0.0005695301376364499 0.0006886459499010071 0.00038916562889165627
ltmetgf 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 0.00017216148747525178 0.00015566625155666251
lo 9.653441451877595e-05 0.00028768699654775604 9.492168960607498e-05 0.002410260824653525 0.00031133250311332503
3000000 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 8.608074373762589e-05 0.00031133250311332503
